organism_name,common_name,description
Aeorestes cinereus,hoary bat,Description
Helogale parvula,dwarf mongoose,Description
Mus minutoides,Southern African pygmy mouse,Description
Puma yagouaroundi,jaguarundi,Description
Ailurus styani,,Description
Lepus townsendii,white-tailed jackrabbit,Description
Pteronura brasiliensis,giant otter,Description
Aepyceros melampus,impala,Description
Glaucomys volans,southern flying squirrel,Description
Galemys pyrenaicus,,Description
Choloepus hoffmanni,Hoffmann's two-fingered sloth,Description
Spilogale gracilis,western spotted skunk,Description
Micronycteris hirsuta,,Description
Paradoxurus hermaphroditus,Asian palm civet,Description
Mirza coquereli,Coquerel's mouse lemur,Description
Beatragus hunteri,,Description
Grammomys surdaster,,Description
Pygathrix nemaeus,Red shanked douc langur,Description
Alouatta palliata,mantled howler monkey,Description
Mellivora capensis,ratel,Description
Dipodomys ordii,Ord's kangaroo rat,Description
Prolemur simus,greater bamboo lemur,Description
Condylura cristata,star-nosed mole,Description
Uropsilus gracilis,gracile shrew mole,Description
Plecturocebus donacophilus,Bolivian titi,Description
Rousettus leschenaultii,Leschenault's rousette,Description
Speothos venaticus,bush dog,Description
Colobus angolensis palliatus,,Description
Myrmecophaga tridactyla,giant anteater,Description
Lasiurus borealis,red bat,Description
Eubalaena japonica,North Pacific right whale,Description
Bubalus depressicornis,lowland anoa,Description
Aplodontia rufa,mountain beaver,Description
Caracal caracal,caracal,Description
Lipotes vexillifer,Yangtze River dolphin,Description
Miniopterus natalensis,,Description
Mesoplodon bidens,Sowerby's beaked whale,Description
Myocastor coypus,nutria,Description
Indri indri,,Description
Glis glis,Fat dormouse,Description
Elephantulus edwardii,Cape elephant shrew,Description
Leptonychotes weddellii,Weddell seal,Description
Myotis brandtii,Brandt's bat,Description
Dicrostonyx torquatus,Arctic lemming,Description
Eulemur fulvus,brown lemur,Description
Chrysochloris asiatica,Cape golden mole,Description
Caperea marginata,pygmy right whale,Description
Orycteropus afer afer,,Description
Cynopterus brachyotis,lesser short-nosed fruit bat,Description
Peromyscus melanophrys,plateau mouse,Description
Microtus richardsoni,water vole,Description
Eidolon helvum,straw-colored fruit bat,Description
Smutsia temminckii,ground pangolin,Description
Procapra przewalskii,Przewalski's gazelle,Description
Carollia perspicillata,Seba's short-tailed bat,Description
Cercopithecus neglectus,De Brazza's monkey,Description
Balaenoptera bonaerensis,Antarctic minke whale,Description
Manis crassicaudata,Indian pangolin,Description
Saiga tatarica,,Description
Ziphius cavirostris,Cuvier's beaked whale,Description
Microtus montanus,montane vole,Description
Bradypus variegatus,Brown-throated sloth,Description
Chaetophractus vellerosus,Screaming hairy armadillo,Description
Lama guanicoe cacsilensis,,Description
Vicugna vicugna mensalis,,Description
Kobus leche leche,,Description
Hippotragus niger niger,,Description
Taxidea taxus jeffersonii,,Description
Macaca nigra,Celebes crested macaque,Description
Ateles hybridus,brown spider monkey,Description
Tragulus kanchil,,Description
Macaca assamensis,Assam macaque,Description
Macaca silenus,liontail macaque,Description
Muntiacus gongshanensis,Gongshanensis muntjac,Description
Cercopithecus mona,Mona monkey,Description
Molossus nigricans,northern black mastiff bat,Description
Tragelaphus eurycerus,bongo,Description
Rhynchonycteris naso,proboscis bat,Description
Rhinopithecus strykeri,Burmese snub-nosed monkey,Description
Spilogale interrupta,plains spotted skunk,Description
Trachypithecus phayrei crepuscula,,Description
Cercopithecus albogularis,Sykes' monkey,Description
Cricetomys ansorgei,southern giant pouched rat,Description
Pithecia pithecia,white-faced saki,Description
Loris tardigradus,slender loris,Description
Lophocebus aterrimus,Black crested mangabey,Description
Molossus alvarezi,Alvarez's mastiff bat,Description
Pusa hispida saimensis,,Description
Bettongia penicillata ogilbyi,,Description
Ovis nivicola lydekkeri,,Description
Proteles cristata cristata,,Description
Otocyon megalotis megalotis,,Description
Galago moholi,Moholi bushbaby,Description
Pteropus pselaphon,Bonin flying fox,Description
Capra ibex,Alpine ibex,Description
Mustela eversmannii,steppe polecat,Description
Smutsia gigantea,giant pangolin,Description
Ctenodactylus gundi,northern gundi,Description
Tursiops aduncus,Indo-pacific bottlenose dolphin,Description
Sciurus niger,fox squirrel,Description
Sus cebifrons,Visayan warty pig,Description
